"pkg","ver","src","desc"
"Benchmarking","0.23","Benchmarking_0.23.tar.gz","Benchmarking_0.23.dcf"
"BenfordTests","0.5","Archive/BenfordTests/BenfordTests_0.5.tar.gz","BenfordTests_0.5.dcf"
"BenfordTests","1.0.0","Archive/BenfordTests/BenfordTests_1.0.0.tar.gz","BenfordTests_1.0.0.dcf"
"BenfordTests","1.0.1","Archive/BenfordTests/BenfordTests_1.0.1.tar.gz","BenfordTests_1.0.1.dcf"
"BenfordTests","1.0.2","Archive/BenfordTests/BenfordTests_1.0.2.tar.gz","BenfordTests_1.0.2.dcf"
"BenfordTests","1.1.0","Archive/BenfordTests/BenfordTests_1.1.0.tar.gz","BenfordTests_1.1.0.dcf"
"BenfordTests","1.1.1","BenfordTests_1.1.1.tar.gz","BenfordTests_1.1.1.dcf"
"bentcableAR","0.1.1","Archive/bentcableAR/bentcableAR_0.1.1.tar.gz","bentcableAR_0.1.1.dcf"
"bentcableAR","0.1.2","Archive/bentcableAR/bentcableAR_0.1.2.tar.gz","bentcableAR_0.1.2.dcf"
"bentcableAR","0.1","Archive/bentcableAR/bentcableAR_0.1.tar.gz","bentcableAR_0.1.dcf"
"bentcableAR","0.2.1","Archive/bentcableAR/bentcableAR_0.2.1.tar.gz","bentcableAR_0.2.1.dcf"
"bentcableAR","0.2.2","Archive/bentcableAR/bentcableAR_0.2.2.tar.gz","bentcableAR_0.2.2.dcf"
"bentcableAR","0.2","Archive/bentcableAR/bentcableAR_0.2.tar.gz","bentcableAR_0.2.dcf"
"bentcableAR","0.2.3","bentcableAR_0.2.3.tar.gz","bentcableAR_0.2.3.dcf"
"ber","1.0","Archive/ber/ber_1.0.tar.gz","ber_1.0.dcf"
"ber","2.0","Archive/ber/ber_2.0.tar.gz","ber_2.0.dcf"
"ber","3.0","Archive/ber/ber_3.0.tar.gz","ber_3.0.dcf"
"ber","4.0","ber_4.0.tar.gz","ber_4.0.dcf"
"Bergm","1.0","Archive/Bergm/Bergm_1.0.tar.gz","Bergm_1.0.dcf"
"Bergm","1.1","Archive/Bergm/Bergm_1.1.tar.gz","Bergm_1.1.dcf"
"Bergm","1.2","Archive/Bergm/Bergm_1.2.tar.gz","Bergm_1.2.dcf"
"Bergm","1.3","Archive/Bergm/Bergm_1.3.tar.gz","Bergm_1.3.dcf"
"Bergm","1.4","Archive/Bergm/Bergm_1.4.tar.gz","Bergm_1.4.dcf"
"Bergm","2.0","Archive/Bergm/Bergm_2.0.tar.gz","Bergm_2.0.dcf"
"Bergm","2.1","Archive/Bergm/Bergm_2.1.tar.gz","Bergm_2.1.dcf"
"Bergm","2.2","Archive/Bergm/Bergm_2.2.tar.gz","Bergm_2.2.dcf"
"Bergm","2.3","Archive/Bergm/Bergm_2.3.tar.gz","Bergm_2.3.dcf"
"Bergm","2.4","Archive/Bergm/Bergm_2.4.tar.gz","Bergm_2.4.dcf"
"Bergm","2.5","Archive/Bergm/Bergm_2.5.tar.gz","Bergm_2.5.dcf"
"Bergm","2.6","Bergm_2.6.tar.gz","Bergm_2.6.dcf"
"BerkeleyEarth","1.0","Archive/BerkeleyEarth/BerkeleyEarth_1.0.tar.gz","BerkeleyEarth_1.0.dcf"
"BerkeleyEarth","1.1","Archive/BerkeleyEarth/BerkeleyEarth_1.1.tar.gz","BerkeleyEarth_1.1.dcf"
"BerkeleyEarth","1.3","Archive/BerkeleyEarth/BerkeleyEarth_1.3.tar.gz","BerkeleyEarth_1.3.dcf"
"BerkeleyEarth","1.6","Archive/BerkeleyEarth/BerkeleyEarth_1.6.tar.gz","BerkeleyEarth_1.6.dcf"
"BerkeleyEarth","1.7","Archive/BerkeleyEarth/BerkeleyEarth_1.7.tar.gz","BerkeleyEarth_1.7.dcf"
"BerkeleyEarth","1.8","Archive/BerkeleyEarth/BerkeleyEarth_1.8.tar.gz","BerkeleyEarth_1.8.dcf"
"Bessel","0.5-3","Archive/Bessel/Bessel_0.5-3.tar.gz","Bessel_0.5-3.dcf"
"Bessel","0.5-4","Archive/Bessel/Bessel_0.5-4.tar.gz","Bessel_0.5-4.dcf"
"Bessel","0.5-5","Bessel_0.5-5.tar.gz","Bessel_0.5-5.dcf"
"BEST","0.1.0","Archive/BEST/BEST_0.1.0.tar.gz","BEST_0.1.0.dcf"
"BEST","0.2.0","BEST_0.2.0.tar.gz","BEST_0.2.0.dcf"
"bestglm","0.10","Archive/bestglm/bestglm_0.10.tar.gz","bestglm_0.10.dcf"
"bestglm","0.13","Archive/bestglm/bestglm_0.13.tar.gz","bestglm_0.13.dcf"
"bestglm","0.14","Archive/bestglm/bestglm_0.14.tar.gz","bestglm_0.14.dcf"
"bestglm","0.20","Archive/bestglm/bestglm_0.20.tar.gz","bestglm_0.20.dcf"
"bestglm","0.30","Archive/bestglm/bestglm_0.30.tar.gz","bestglm_0.30.dcf"
"bestglm","0.31","Archive/bestglm/bestglm_0.31.tar.gz","bestglm_0.31.dcf"
"bestglm","0.33","bestglm_0.33.tar.gz","bestglm_0.33.dcf"
"betafam","1.0","betafam_1.0.tar.gz","betafam_1.0.dcf"
"betapart","1.1-2","Archive/betapart/betapart_1.1-2.tar.gz","betapart_1.1-2.dcf"
"betapart","1.1","Archive/betapart/betapart_1.1.tar.gz","betapart_1.1.dcf"
"betapart","1.2","Archive/betapart/betapart_1.2.tar.gz","betapart_1.2.dcf"
"betapart","1.3","betapart_1.3.tar.gz","betapart_1.3.dcf"
"betaper","1.0-0","Archive/betaper/betaper_1.0-0.tar.gz","betaper_1.0-0.dcf"
"betaper","1.1-0","betaper_1.1-0.tar.gz","betaper_1.1-0.dcf"
"betareg","1.0-1","Archive/betareg/betareg_1.0-1.tar.gz","betareg_1.0-1.dcf"
"betareg","1.0","Archive/betareg/betareg_1.0.tar.gz","betareg_1.0.dcf"
"betareg","1.1","Archive/betareg/betareg_1.1.tar.gz","betareg_1.1.dcf"
"betareg","1.2.1","Archive/betareg/betareg_1.2.1.tar.gz","betareg_1.2.1.dcf"
"betareg","1.2","Archive/betareg/betareg_1.2.tar.gz","betareg_1.2.dcf"
"betareg","2.0-0","Archive/betareg/betareg_2.0-0.tar.gz","betareg_2.0-0.dcf"
"betareg","2.1-2","Archive/betareg/betareg_2.1-2.tar.gz","betareg_2.1-2.dcf"
"betareg","2.2-0","Archive/betareg/betareg_2.2-0.tar.gz","betareg_2.2-0.dcf"
"betareg","2.2-1","Archive/betareg/betareg_2.2-1.tar.gz","betareg_2.2-1.dcf"
"betareg","2.2-2","Archive/betareg/betareg_2.2-2.tar.gz","betareg_2.2-2.dcf"
"betareg","2.2-3","Archive/betareg/betareg_2.2-3.tar.gz","betareg_2.2-3.dcf"
"betareg","2.3-0","Archive/betareg/betareg_2.3-0.tar.gz","betareg_2.3-0.dcf"
"betareg","2.4-0","Archive/betareg/betareg_2.4-0.tar.gz","betareg_2.4-0.dcf"
"betareg","2.4-1","Archive/betareg/betareg_2.4-1.tar.gz","betareg_2.4-1.dcf"
"betareg","3.0-0","Archive/betareg/betareg_3.0-0.tar.gz","betareg_3.0-0.dcf"
